#FORMAT IS : NAME_OF_TOWER_UPGRADE_NUMBER_LVL|LEFT_OF_THE_TEXTURE|TOP_OF_THE_TEXTURE|WIDTH_OF_THE_TEXTURE|HEIGHT_OF_THE_TEXTURE|RANGE|DAMAGE|ATTACK_SPEED|LEFT_OF_THE_AVATAR|TOP_OF_THE_AVATAR|WIDTH_OF_THE_AVATAR|HEIGHT_OF_THE_AVATAR| ; TWO UPGRADES FOR ONE TOWER WITH 4 LVLS.
DART_MONKEY|0|0|111|114|124|1|54|0|0|300|300|0|0|200|200|800|0|200|200|170|
DART_MONKEY_UPGRADE_1_1|0|0|111|114|156|1|54|300|0|300|300|
DART_MONKEY_UPGRADE_1_2|0|0|111|114|187|1|54|600|0|300|300|
DART_MONKEY_UPGRADE_1_3|0|0|111|114|187|1|90|900|0|300|300|
DART_MONKEY_UPGRADE_1_4|0|0|111|114|218|1|84|1200|0|300|300|
DART_MONKEY_UPGRADE_2_1|0|0|111|114|124|1|54|1500|0|300|300|
DART_MONKEY_UPGRADE_2_2|0|0|111|114|124|1|54|1800|0|300|300|
DART_MONKEY_UPGRADE_2_3|0|0|111|114|124|1|54|2100|0|300|300|
DART_MONKEY_UPGRADE_2_4|0|0|111|114|???|1|TOTEST|2400|0|300|300|
TACK_SHOOTER|111|0|142|142|79|1|100|0|300|300|300|0|200|200|200|800|200|200|200|240|
TACK_SHOOTER_UPGRADE_1_1|111|0|142|142|79|1|75|300|300|300|300|
TACK_SHOOTER_UPGRADE_1_2|111|0|142|142|79|1|42|600|300|300|300|
TACK_SHOOTER_UPGRADE_1_3|111|0|142|142|79|1|42|900|300|300|300|
TACK_SHOOTER_UPGRADE_1_4|111|0|142|142|79|1|20|1200|300|300|300|
TACK_SHOOTER_UPGRADE_2_1|111|0|142|142|95|1|100|1500|300|300|300|
TACK_SHOOTER_UPGRADE_2_2|111|0|142|142|110|1|100|1800|300|300|300|
TACK_SHOOTER_UPGRADE_2_3|111|0|142|142|110|1|42|2100|300|300|300|
TACK_SHOOTER_UPGRADE_2_4|111|0|142|142|0INFINITY|1|TOTEST|2400|300|300|300|
NINJA_MONKEY|253|0|112|112|149|1|98|0|600|300|300|0|400|200|200|800|400|200|200|425|
NINJA_MONKEY_UPGRADE_1_1|253|0|112|112|248|1|120|300|600|300|300|
